ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal
65146;"Robert Albert ""Bob"" Kurland";M;230;2130;1000;United States;USA;1948 Summer;1948;Summer;London;Basketball;Basketball Men's Basketball;Gold
65146;"Robert Albert ""Bob"" Kurland";M;270;2130;1000;United States;USA;1952 Summer;1952;Summer;Helsinki;Basketball;Basketball Men's Basketball;Gold
65809;Christian Donald Laettner;M;220;2110;1070;United States;USA;1992 Summer;1992;Summer;Barcelona;Basketball;Basketball Men's Basketball;Gold
65853;"Thomas Joseph ""Tom"" LaGarde";M;210;2080;970;United States;USA;1976 Summer;1976;Summer;Montreal;Basketball;Basketball Men's Basketball;Gold
66366;"Lester Everett ""Les"" Lane";M;280;1770;770;United States;USA;1960 Summer;1960;Summer;Roma;Basketball;Basketball Men's Basketball;Gold
69760;"William Barner ""Bill"" Lienhard";M;220;1950;820;United States;USA;1952 Summer;1952;Summer;Helsinki;Basketball;Basketball Men's Basketball;Gold
71729;Kevin Wesley Love;M;230;2080;1180;United States;USA;2012 Summer;2012;Summer;London;Basketball;Basketball Men's Basketball;Gold
71749;Clyde Edward Lovellette;M;220;2050;1040;United States;USA;1952 Summer;1952;Summer;Helsinki;Basketball;Basketball Men's Basketball;Gold
71822;Kyle Lowry;M;300;1830;930;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Basketball;Basketball Men's Basketball;Gold
71965;Frank John Lubin;M;260;2000;1130;United States;USA;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;Gold
71996;Jerry Ray Lucas;M;200;2030;1030;United States;USA;1960 Summer;1960;Summer;Roma;Basketball;Basketball Men's Basketball;Gold
72222;"Raymond George ""Ray"" Lumpp";M;250;1850;810;United States;USA;1948 Summer;1948;Summer;London;Basketball;Basketball Men's Basketball;Gold
73750;"Daniel Lewis ""Dan"" Majerle";M;230;1980;980;United States;USA;1988 Summer;1988;Summer;Seoul;Basketball;Basketball Men's Basketball;Bronze
74176;Karl Malone;M;290;2050;1160;United States;USA;1992 Summer;1992;Summer;Barcelona;Basketball;Basketball Men's Basketball;Gold
74176;Karl Malone;M;320;2050;1160;United States;USA;1996 Summer;1996;Summer;Atlanta;Basketball;Basketball Men's Basketball;Gold
74518;"Daniel Ricardo ""Danny"" Manning";M;220;2080;1040;United States;USA;1988 Summer;1988;Summer;Seoul;Basketball;Basketball Men's Basketball;Bronze
74732;Stephon Xavier Marbury;M;270;1870;920;United States;USA;2004 Summer;2004;Summer;Athina;Basketball;Basketball Men's Basketball;Bronze
75121;Shawn Dwayne Marion;M;260;2000;970;United States;USA;2004 Summer;2004;Summer;Athina;Basketball;Basketball Men's Basketball;Bronze
76943;Scott Glenn May;M;220;2000;990;United States;USA;1976 Summer;1976;Summer;Montreal;Basketball;Basketball Men's Basketball;Gold
77254;Frank Reilly McCabe;M;250;2030;1020;United States;USA;1952 Summer;1952;Summer;Helsinki;Basketball;Basketball Men's Basketball;Gold
77266;"John Paul ""Pete"" McCaffrey";M;250;1980;980;United States;USA;1964 Summer;1964;Summer;Tokyo;Basketball;Basketball Men's Basketball;Gold
77496;Antonio Keithflen McDyess;M;260;2020;1090;United States;USA;2000 Summer;2000;Summer;Sydney;Basketball;Basketball Men's Basketball;Gold
77879;"Charles Thomas ""Tom"" McMillen";M;200;2120;950;United States;USA;1972 Summer;1972;Summer;Munich;Basketball;Basketball Men's Basketball;Silver
79930;"Reginald Wayne ""Reggie"" Miller";M;310;2000;860;United States;USA;1996 Summer;1996;Summer;Atlanta;Basketball;Basketball Men's Basketball;Gold
81220;"Arthur Owen ""Art"" Mollner";M;230;1830;730;United States;USA;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;Gold
82625;Alonzo Harding Mourning;M;300;2060;1170;United States;USA;2000 Summer;2000;Summer;Sydney;Basketball;Basketball Men's Basketball;Gold
83179;"Christopher Paul ""Chris"" Mullin";M;200;2000;980;United States;USA;1984 Summer;1984;Summer;Los Angeles;Basketball;Basketball Men's Basketball;Gold
83179;"Christopher Paul ""Chris"" Mullin";M;280;2000;980;United States;USA;1992 Summer;1992;Summer;Barcelona;Basketball;Basketball Men's Basketball;Gold
83188;"Jeffrey Vincent ""Jeff"" Mullins";M;220;1920;860;United States;USA;1964 Summer;1964;Summer;Tokyo;Basketball;Basketball Men's Basketball;Gold
88024;Lamar Joseph Odom;M;240;2080;1020;United States;USA;2004 Summer;2004;Summer;Athina;Basketball;Basketball Men's Basketball;Bronze
88402;"Chukwuemeka Noubuisi ""Emeka"" Okafor";M;210;2050;1150;United States;USA;2004 Summer;2004;Summer;Athina;Basketball;Basketball Men's Basketball;Bronze
88580;Hakeem Abdul Olajuwon;M;330;2130;1130;United States;USA;1996 Summer;1996;Summer;Atlanta;Basketball;Basketball Men's Basketball;Gold
89103;Shaquille Rashuan O'Neal;M;240;2160;1370;United States;USA;1996 Summer;1996;Summer;Atlanta;Basketball;Basketball Men's Basketball;Gold
92158;"Christopher Emmanuel ""Chris"" Paul";M;230;1830;830;United States;USA;2008 Summer;2008;Summer;Beijing;Basketball;Basketball Men's Basketball;Gold
92158;"Christopher Emmanuel ""Chris"" Paul";M;270;1830;830;United States;USA;2012 Summer;2012;Summer;London;Basketball;Basketball Men's Basketball;Gold
92435;Gary Dwayne Payton;M;270;1900;860;United States;USA;1996 Summer;1996;Summer;Atlanta;Basketball;Basketball Men's Basketball;Gold
92435;Gary Dwayne Payton;M;320;1900;860;United States;USA;2000 Summer;2000;Summer;Sydney;Basketball;Basketball Men's Basketball;Gold
93468;"Samuel Bruce ""Sam"" Perkins";M;230;2050;1060;United States;USA;1984 Summer;1984;Summer;Los Angeles;Basketball;Basketball Men's Basketball;Gold
95095;"Donald Arthur ""Don"" Piper";M;250;1800;730;United States;USA;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;Gold
95105;Scottie Maurice Pippen;M;260;2000;1020;United States;USA;1992 Summer;1992;Summer;Barcelona;Basketball;Basketball Men's Basketball;Gold
95105;Scottie Maurice Pippen;M;300;2000;1020;United States;USA;1996 Summer;1996;Summer;Atlanta;Basketball;Basketball Men's Basketball;Gold
95108;Dan Luther Pippin;M;250;1850;770;United States;USA;1952 Summer;1952;Summer;Helsinki;Basketball;Basketball Men's Basketball;Gold
95266;"Robert C. ""R. C."" Pitts";M;290;1950;910;United States;USA;1948 Summer;1948;Summer;London;Basketball;Basketball Men's Basketball;Gold
97027;Tayshaun Durell Prince;M;280;2060;930;United States;USA;2008 Summer;2008;Summer;Beijing;Basketball;Basketball Men's Basketball;Gold
98309;Jack Williamson Ragland;M;220;1830;790;United States;USA;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;Gold
99116;"William Edward ""Ed"" Ratleff";M;220;1980;860;United States;USA;1972 Summer;1972;Summer;Munich;Basketball;Basketball Men's Basketball;Silver
99456;Michael Wesley Redd;M;280;1980;980;United States;USA;2008 Summer;2008;Summer;Beijing;Basketball;Basketball Men's Basketball;Gold
99699;"Herman ""J. R."" Reid, Jr.";M;200;2050;1160;United States;USA;1988 Summer;1988;Summer;Seoul;Basketball;Basketball Men's Basketball;Bronze
99983;Jesse Banard Renick;M;300;1880;840;United States;USA;1948 Summer;1948;Summer;London;Basketball;Basketball Men's Basketball;Gold
100591;"Mitchell James ""Mitch"" Richmond, III";M;230;1950;980;United States;USA;1988 Summer;1988;Summer;Seoul;Basketball;Basketball Men's Basketball;Bronze
